" ""local_time"": ""America/Chicago"""," ""electricity"": ""kW""}"
4/25/2019 10:00,0.23
4/25/2019 11:00,0.317
4/25/2019 12:00,0.398
4/25/2019 13:00,0.391
4/25/2019 14:00,0.405
4/25/2019 15:00,0.411
4/25/2019 16:00,0.457
4/25/2019 17:00,0.41
4/25/2019 18:00,0.358
4/25/2019 19:00,0.435
4/25/2019 20:00,0.3
4/25/2019 21:00,0.351
4/25/2019 22:00,0.279
4/25/2019 23:00,0.2
4/26/2019 0:00,0.112
4/26/2019 1:00,0.119
4/26/2019 2:00,0.22
4/26/2019 3:00,0.354
4/26/2019 4:00,0.481
4/26/2019 5:00,0.434
4/26/2019 6:00,0.351
4/26/2019 7:00,0.295
4/26/2019 8:00,0.519
4/26/2019 9:00,0.7
4/26/2019 10:00,0.731
4/26/2019 11:00,0.707
4/26/2019 12:00,0.635
4/26/2019 13:00,0.599
4/26/2019 14:00,0.569
4/26/2019 15:00,0.533
4/26/2019 16:00,0.457
4/26/2019 17:00,0.387
4/26/2019 18:00,0.457
4/26/2019 19:00,0.601
4/26/2019 20:00,0.592
4/26/2019 21:00,0.525
4/26/2019 22:00,0.449
4/26/2019 23:00,0.369
4/27/2019 0:00,0.305
4/27/2019 1:00,0.227
4/27/2019 2:00,0.135
4/27/2019 3:00,0.074
4/27/2019 4:00,0.045
4/27/2019 5:00,0.038
4/27/2019 6:00,0.044
4/27/2019 7:00,0.011
4/27/2019 8:00,0
4/27/2019 9:00,0
4/27/2019 10:00,0
4/27/2019 11:00,0.011
4/27/2019 12:00,0.097
4/27/2019 13:00,0.231
4/27/2019 14:00,0.347
4/27/2019 15:00,0.421
4/27/2019 16:00,0.485
4/27/2019 17:00,0.531
4/27/2019 18:00,0.626
4/27/2019 19:00,0.656
4/27/2019 20:00,0.525
4/27/2019 21:00,0.435
4/27/2019 22:00,0.376
4/27/2019 23:00,0.311
4/28/2019 0:00,0.289
4/28/2019 1:00,0.266
4/28/2019 2:00,0.243
4/28/2019 3:00,0.234
4/28/2019 4:00,0.21
4/28/2019 5:00,0.192
4/28/2019 6:00,0.143
4/28/2019 7:00,0.056
4/28/2019 8:00,0.087
4/28/2019 9:00,0.101
4/28/2019 10:00,0.048
4/28/2019 11:00,0.019
4/28/2019 12:00,0.013
4/28/2019 13:00,0.034
4/28/2019 14:00,0.082
4/28/2019 15:00,0.094
4/28/2019 16:00,0.082
4/28/2019 17:00,0.067
4/28/2019 18:00,0.076
4/28/2019 19:00,0.078
4/28/2019 20:00,0.053
4/28/2019 21:00,0.025
4/28/2019 22:00,0.029
4/28/2019 23:00,0.046
7/1/2019 0:00,0.09
7/1/2019 1:00,0.083
7/1/2019 2:00,0.081
7/1/2019 3:00,0.089
7/1/2019 4:00,0.099
7/1/2019 5:00,0.11
7/1/2019 6:00,0.047
7/1/2019 7:00,0.001
7/1/2019 8:00,0.039
7/1/2019 9:00,0.036
7/1/2019 10:00,0.023
7/1/2019 11:00,0.015
7/1/2019 12:00,0.011
7/1/2019 13:00,0.007
7/1/2019 14:00,0.004
7/1/2019 15:00,0.002
7/1/2019 16:00,0.001
7/1/2019 17:00,0
7/1/2019 18:00,0
7/1/2019 19:00,0.002
7/1/2019 20:00,0.034
7/1/2019 21:00,0.097
7/1/2019 22:00,0.138
7/1/2019 23:00,0.127
7/2/2019 0:00,0.093
7/2/2019 1:00,0.049
7/2/2019 2:00,0.023
7/2/2019 3:00,0.014
7/2/2019 4:00,0.013
7/2/2019 5:00,0.021
7/2/2019 6:00,0.025
7/2/2019 7:00,0.001
7/2/2019 8:00,0.037
7/2/2019 9:00,0.072
7/2/2019 10:00,0.076
7/2/2019 11:00,0.048
7/2/2019 12:00,0.021
7/2/2019 13:00,0.008
7/2/2019 14:00,0.005
7/2/2019 15:00,0.007
7/2/2019 16:00,0.019
7/2/2019 17:00,0.053
7/2/2019 18:00,0.101
7/2/2019 19:00,0.203
7/2/2019 20:00,0.289
7/2/2019 21:00,0.262
7/2/2019 22:00,0.194
7/2/2019 23:00,0.183
7/3/2019 0:00,0.177
7/3/2019 1:00,0.148
7/3/2019 2:00,0.133
7/3/2019 3:00,0.12
7/3/2019 4:00,0.096
7/3/2019 5:00,0.065
7/3/2019 6:00,0.027
7/3/2019 7:00,0
7/3/2019 8:00,0
7/3/2019 9:00,0.001
7/3/2019 10:00,0.002
7/3/2019 11:00,0
7/3/2019 12:00,0
7/3/2019 13:00,0.002
7/3/2019 14:00,0.005
7/3/2019 15:00,0.006
7/3/2019 16:00,0.011
7/3/2019 17:00,0.019
7/3/2019 18:00,0.025
7/3/2019 19:00,0.038
7/3/2019 20:00,0.076
7/3/2019 21:00,0.084
7/3/2019 22:00,0.058
7/3/2019 23:00,0.032
