" ""local_time"": ""America/Chicago"""," ""electricity"": ""kW""}"
1/19/2019 10:00,0.937
1/19/2019 11:00,0.962
1/19/2019 12:00,0.979
1/19/2019 13:00,0.984
1/19/2019 14:00,0.966
1/19/2019 15:00,0.911
1/19/2019 16:00,0.862
1/19/2019 17:00,0.768
1/19/2019 18:00,0.845
1/19/2019 19:00,0.904
1/19/2019 20:00,0.905
1/19/2019 21:00,0.883
1/19/2019 22:00,0.863
1/19/2019 23:00,0.877
1/20/2019 0:00,0.91
1/20/2019 1:00,0.925
1/20/2019 2:00,0.917
1/20/2019 3:00,0.88
1/20/2019 4:00,0.844
1/20/2019 5:00,0.821
1/20/2019 6:00,0.799
1/20/2019 7:00,0.789
1/20/2019 8:00,0.809
1/20/2019 9:00,0.776
1/20/2019 10:00,0.712
1/20/2019 11:00,0.644
1/20/2019 12:00,0.525
1/20/2019 13:00,0.469
1/20/2019 14:00,0.482
1/20/2019 15:00,0.525
1/20/2019 16:00,0.501
1/20/2019 17:00,0.498
1/20/2019 18:00,0.416
1/20/2019 19:00,0.352
1/20/2019 20:00,0.323
1/20/2019 21:00,0.315
1/20/2019 22:00,0.306
1/20/2019 23:00,0.283
1/21/2019 0:00,0.254
1/21/2019 1:00,0.224
1/21/2019 2:00,0.202
1/21/2019 3:00,0.188
1/21/2019 4:00,0.193
1/21/2019 5:00,0.22
1/21/2019 6:00,0.238
1/21/2019 7:00,0.183
1/21/2019 8:00,0.223
1/21/2019 9:00,0.172
1/21/2019 10:00,0.114
1/21/2019 11:00,0.068
1/21/2019 12:00,0.042
1/21/2019 13:00,0.031
1/21/2019 14:00,0.031
1/21/2019 15:00,0.028
1/21/2019 16:00,0.053
1/21/2019 17:00,0.12
1/21/2019 18:00,0.231
1/21/2019 19:00,0.34
1/21/2019 20:00,0.426
1/21/2019 21:00,0.459
1/21/2019 22:00,0.4
1/21/2019 23:00,0.382
1/22/2019 0:00,0.374
1/22/2019 1:00,0.368
1/22/2019 2:00,0.371
1/22/2019 3:00,0.352
1/22/2019 4:00,0.344
1/22/2019 5:00,0.332
1/22/2019 6:00,0.4
1/22/2019 7:00,0.481
1/22/2019 8:00,0.472
1/22/2019 9:00,0.481
1/22/2019 10:00,0.571
1/22/2019 11:00,0.612
1/22/2019 12:00,0.674
1/22/2019 13:00,0.702
1/22/2019 14:00,0.695
1/22/2019 15:00,0.692
1/22/2019 16:00,0.724
1/22/2019 17:00,0.774
1/22/2019 18:00,0.815
1/22/2019 19:00,0.806
1/22/2019 20:00,0.809
1/22/2019 21:00,0.819
1/22/2019 22:00,0.849
1/22/2019 23:00,0.866
1/23/2019 0:00,0.87
1/23/2019 1:00,0.862
1/23/2019 2:00,0.849
1/23/2019 3:00,0.839
1/23/2019 4:00,0.847
1/23/2019 5:00,0.859
1/23/2019 6:00,0.862
1/23/2019 7:00,0.849
1/23/2019 8:00,0.851
1/23/2019 9:00,0.862
1/23/2019 10:00,0.875
1/23/2019 11:00,0.924
1/23/2019 12:00,0.954
1/23/2019 13:00,0.98
1/23/2019 14:00,0.989
1/23/2019 15:00,0.986
1/23/2019 16:00,0.972
1/23/2019 17:00,0.792
1/23/2019 18:00,0.598
1/23/2019 19:00,0.791
1/23/2019 20:00,0.794
1/23/2019 21:00,0.668
1/23/2019 22:00,0.63
1/23/2019 23:00,0.672
1/24/2019 0:00,0.601
1/24/2019 1:00,0.695
1/24/2019 2:00,0.722
1/24/2019 3:00,0.692
1/24/2019 4:00,0.697
1/24/2019 5:00,0.615
1/24/2019 6:00,0.534
1/24/2019 7:00,0.484
1/24/2019 8:00,0.428
1/24/2019 9:00,0.366
1/24/2019 10:00,0.291
1/24/2019 11:00,0.241
1/24/2019 12:00,0.225
1/24/2019 13:00,0.249
1/24/2019 14:00,0.286
1/24/2019 15:00,0.278
1/24/2019 16:00,0.277
1/24/2019 17:00,0.332
1/24/2019 18:00,0.348
1/24/2019 19:00,0.365
1/24/2019 20:00,0.393
1/24/2019 21:00,0.402
1/24/2019 22:00,0.355
1/24/2019 23:00,0.344
1/25/2019 0:00,0.348
1/25/2019 1:00,0.362
1/25/2019 2:00,0.376
1/25/2019 3:00,0.379
1/25/2019 4:00,0.355
1/25/2019 5:00,0.315
1/25/2019 6:00,0.268
1/25/2019 7:00,0.124
1/25/2019 8:00,0.053
1/25/2019 9:00,0.089
1/25/2019 10:00,0.051
1/25/2019 11:00,0.034
1/25/2019 12:00,0.035
1/25/2019 13:00,0.048
1/25/2019 14:00,0.057
1/25/2019 15:00,0.058
1/25/2019 16:00,0.078
1/25/2019 17:00,0.08
1/25/2019 18:00,0.067
1/25/2019 19:00,0.054
1/25/2019 20:00,0.046
1/25/2019 21:00,0.037
1/25/2019 22:00,0.031
1/25/2019 23:00,0.038
1/26/2019 0:00,0.042
1/26/2019 1:00,0.04
1/26/2019 2:00,0.036
1/26/2019 3:00,0.024
1/26/2019 4:00,0.031
1/26/2019 5:00,0.054
1/26/2019 6:00,0.074
1/26/2019 7:00,0.079
1/26/2019 8:00,0.011
1/26/2019 9:00,0.018
1/26/2019 10:00,0.045
1/26/2019 11:00,0.032
1/26/2019 12:00,0.008
1/26/2019 13:00,0.001
1/26/2019 14:00,0
1/26/2019 15:00,0
1/26/2019 16:00,0.001
1/26/2019 17:00,0.004
1/26/2019 18:00,0.018
1/26/2019 19:00,0.055
1/26/2019 20:00,0.128
1/26/2019 21:00,0.119
1/26/2019 22:00,0.047
1/26/2019 23:00,0.023
1/27/2019 0:00,0.06
1/27/2019 1:00,0.072
1/27/2019 2:00,0.041
1/27/2019 3:00,0.007
1/27/2019 4:00,0.011
1/27/2019 5:00,0.036
1/27/2019 6:00,0.032
1/27/2019 7:00,0.035
1/27/2019 8:00,0.015
1/27/2019 9:00,0.006
1/27/2019 10:00,0.003
1/27/2019 11:00,0.004
1/27/2019 12:00,0.002
1/27/2019 13:00,0.002
1/27/2019 14:00,0.001
1/27/2019 15:00,0
1/27/2019 16:00,0
1/27/2019 17:00,0
1/27/2019 18:00,0.001
1/27/2019 19:00,0.001
1/27/2019 20:00,0.001
1/27/2019 21:00,0.002
1/27/2019 22:00,0.008
1/27/2019 23:00,0.032
1/28/2019 0:00,0.073
1/28/2019 1:00,0.104
1/28/2019 2:00,0.118
1/28/2019 3:00,0.113
1/28/2019 4:00,0.077
1/28/2019 5:00,0.049
1/28/2019 6:00,0.035
1/28/2019 7:00,0.022
1/28/2019 8:00,0.004
